time,v_id,trip_utilisation
15070,28,0.14486133768352366
15077,449,0.4371816638370119
15083,126,0.7317909168808912
15087,177,0.1772005294506949
15091,151,0.19547953573610263
15093,113,0.20017182130584193
15095,405,0.6816
15100,482,0.7565055762081785
15112,404,0.5632530120481928
15118,444,0.08703409992069785
15120,293,0.6617492096944152
15122,410,0.6354009077155824
15122,221,0.9129429892141756
15132,175,0.9102902374670184
15133,386,0.8084935897435898
15134,318,0.6821946169772257
15136,446,0.8305575669804489
15140,371,0.6096866096866097
15143,351,0.4855371900826446
15145,52,0.6568627450980392
15156,239,0.5615671641791045
15157,207,0.04585340106881309
15157,247,0.055881770798970776
15164,397,0.8382213812677389
15165,231,0.4964985994397759
15171,79,0.6872909698996655
15172,364,0.39476678043230945
15178,419,0.7813288477712363
15178,331,0.7722534081796311
15181,305,0.5137352836246878
15182,154,0.7969543147208121
15184,92,0.7492970946579194
15188,27,0.5129186602870813
15191,321,0.6389496717724289
15202,185,0.26947489901904215
15208,78,0.7276887871853547
15218,384,0.7994552264215186
15221,278,0.7268156424581006
15222,127,0.6119751166407466
15225,182,0.7129629629629629
15231,490,0.7568049977688532
15241,330,0.8352864583333334
15242,80,0.07282508857105367
15243,243,0.7786885245901639
15262,198,0.592051431911163
15263,168,0.3849502487562189
15271,440,0.8530986993114001
15272,121,0.6962457337883959
15278,284,0.5656063618290258
15281,84,0.29961089494163423
15295,117,0.46309781539067113
15302,172,0.6308671439936356
15303,236,0.13211331160691903
15307,46,0.7106976744186047
15315,216,0.8205007085498347
15316,30,0.7728026533996684
15317,391,0.8201771274547555
15317,118,0.30297723292469353
15319,270,0.712789827973074
15324,171,0.6576680068925904
15329,106,0.6313056379821959
15343,435,0.6104611149346181
15352,200,0.658974358974359
15355,142,0.3538781163434903
15356,450,0.6564705882352941
15364,400,0.8231552162849872
15366,234,0.5129399585921325
15371,108,0.6214442013129103
15381,329,0.8641785302039245
15381,478,0.6666666666666666
15384,361,0.6467692307692308
