p_id,request_t,trip_d,trip_t,VoT,fare,prefer_EV
3850,24312,4057.93238022808,431,0.008324999999999999,8.25,True
3851,24321,17504.295315540276,1516,0.007466666666666667,22.71,True
3852,24321,8548.553966290718,733,0.010416666666666666,12.27,True
3853,24322,4965.806374189751,454,0.008591666666666666,8.55,True
3854,24332,5820.431946632946,566,0.008922222222222222,10.05,True
3855,24333,2262.0490928270565,183,0.0097,4.94,True
3856,24335,9869.970176759927,908,0.008547222222222222,14.61,True
3857,24338,16439.059781729316,1118,0.008908333333333334,17.41,True
3858,24339,5236.470428491673,708,0.007911111111111112,11.94,True
3859,24343,6047.537882254118,634,0.0098,10.95,True
3860,24343,5967.598958193262,501,0.010169444444444444,9.18,True
3861,24345,11535.98036826122,974,0.008930555555555554,15.49,True
3862,24351,5357.218327978007,413,0.00906111111111111,8.01,True
3863,24351,1133.951806889519,126,0.008508333333333333,4.18,True
3864,24352,3416.3554603449056,379,0.007447222222222222,7.55,True
3865,24352,26082.574440230903,1539,0.008566666666666667,23.02,True
3866,24353,26467.124924706168,2112,0.008616666666666667,30.66,True
3867,24371,4663.796478587005,477,0.00883611111111111,8.86,True
3868,24379,3666.2315741978337,379,0.00915,7.55,True
3869,24386,7030.283329083945,591,0.007733333333333333,10.38,True
3870,24386,5387.254615886178,463,0.009047222222222222,8.67,True
3871,24389,9250.382956114045,1045,0.007319444444444445,16.43,True
3872,24399,16025.513068179169,1544,0.00895,23.09,True
3873,24399,3812.322422872776,345,0.009447222222222221,7.1,True
3874,24400,20400.751902588603,1390,0.0075,21.03,True
3875,24401,8755.352715612617,865,0.008011111111111111,14.03,True
3876,24401,976.283172499785,82,0.00908611111111111,3.59,True
3877,24404,34594.74065139026,2158,0.009288888888888888,31.27,True
3878,24405,6904.1827799178345,534,0.007913888888888889,9.62,True
3879,24406,11464.575670772318,800,0.008175,13.17,True
3880,24406,1978.2359116731693,159,0.009788888888888889,4.62,True
3881,24409,9628.122571416843,965,0.009144444444444445,15.37,True
3882,24420,1639.3013821645666,138,0.00905277777777778,4.34,True
3883,24435,21059.37148222566,1888,0.008402777777777778,27.67,True
3884,24444,10373.661734118112,966,0.009502777777777778,15.38,True
3885,24449,5464.368796751026,440,0.009502777777777778,8.37,True
3886,24449,11622.487047900322,913,0.00983611111111111,14.67,True
3887,24451,23581.45617079389,1945,0.00821111111111111,28.43,True
3888,24459,8926.041090999868,860,0.00916388888888889,13.97,True
3889,24463,9555.125394117884,797,0.009963888888888888,13.13,True
3890,24465,7201.89396308985,752,0.009019444444444445,12.53,True
3891,24467,3770.45661020916,370,0.008763888888888889,7.43,True
3892,24468,4616.194725171521,378,0.008383333333333333,7.54,True
3893,24478,5005.280876754553,576,0.009952777777777777,10.18,True
3894,24481,14741.650506354532,1444,0.008730555555555556,21.75,True
3895,24482,6022.624826021766,677,0.007505555555555555,11.53,True
3896,24485,781.0850816978,86,0.008752777777777778,3.65,True
3897,24486,7002.819105242157,519,0.00908888888888889,9.42,True
3898,24487,6563.17704717177,499,0.008922222222222222,9.15,True
3899,24489,12224.706831200772,1260,0.009730555555555557,19.3,True
3900,24490,5316.4117993267255,600,0.009894444444444444,10.5,True
3901,24493,11287.372447661784,940,0.008894444444444446,15.03,True
3902,24500,15373.699645315392,1573,0.008505555555555556,23.47,True
3903,24506,7669.744059808971,843,0.009405555555555556,13.74,True
3904,24518,6909.172601322189,691,0.008755555555555555,11.71,True
3905,24526,5010.535290745239,565,0.007669444444444444,10.03,True
3906,24527,4825.342664203161,438,0.009774999999999999,8.34,True
3907,24537,3070.1861267998847,278,0.007794444444444444,6.21,True
3908,24544,7960.525426122429,743,0.009233333333333335,12.41,True
3909,24564,11265.33317309054,955,0.008833333333333334,15.23,True
3910,24573,9809.315874546695,838,0.009211111111111111,13.67,True
3911,24575,7672.724631223595,664,0.007316666666666667,11.35,True
3912,24583,7576.011750624621,603,0.007894444444444445,10.54,True
3913,24583,11930.691295697708,1220,0.008558333333333333,18.77,True
3914,24588,3609.620285150741,359,0.007633333333333333,7.29,True
3915,24589,9618.626603448529,1076,0.009033333333333334,16.85,True
3916,24593,7512.697164217803,593,0.00878611111111111,10.41,True
3917,24600,5361.051407114367,482,0.009747222222222223,8.93,True
3918,24612,3136.78867999222,304,0.00888611111111111,6.55,True
3919,24625,4435.681791197295,535,0.008511111111111112,9.63,True
3920,24630,18457.166555605927,1403,0.007761111111111112,21.21,True
3921,24638,6423.961134762848,720,0.008672222222222222,12.1,True
3922,24646,9373.47275384464,780,0.010138888888888888,12.9,True
3923,24646,4245.736208256465,443,0.008219444444444444,8.41,True
3924,24647,904.0986819163188,75,0.009022222222222221,3.5,True
3925,24657,9319.072618806047,844,0.007891666666666667,13.75,True
3926,24678,5004.23338839735,554,0.008177777777777779,9.89,True
3927,24682,3247.3044785911693,365,0.009461111111111111,7.37,True
3928,24690,7567.750543135873,674,0.008497222222222222,11.49,True
3929,24696,5344.605063824349,429,0.009466666666666667,8.22,True
3930,24700,3806.401329319334,456,0.00823611111111111,8.58,True
3931,24702,3825.824152966857,383,0.008583333333333333,7.61,True
3932,24707,14865.447207547391,1219,0.008666666666666666,18.75,True
3933,24713,9709.831164032084,735,0.008319444444444444,12.3,True
3934,24719,33045.459312920764,2545,0.009405555555555556,36.43,True
3935,24720,20177.287986522748,2247,0.009272222222222223,32.46,True
3936,24720,29315.6588293819,2363,0.008380555555555556,34.01,True
3937,24722,9597.36894085768,805,0.008222222222222223,13.23,True
3938,24727,3387.494736718548,285,0.009577777777777777,6.3,True
3939,24731,1822.341879195946,207,0.008152777777777778,5.26,True
3940,24741,3717.5154526916,415,0.009313888888888889,8.03,True
3941,24746,6232.131657688387,553,0.00981111111111111,9.87,True
3942,24766,17295.545584099385,1596,0.006797222222222222,23.78,True
3943,24769,11914.932564296383,1348,0.008733333333333334,20.47,True
3944,24774,12605.655882161387,1346,0.008602777777777777,20.45,True
3945,24778,4650.951029927105,447,0.010061111111111111,8.46,True
3946,24779,3726.554910290921,305,0.007669444444444444,6.57,True
