,cs,tt
5799605401,1773063789,150
42437786,1773063789,689
42432171,1773063789,311
42432174,1773063789,330
42432178,1773063789,254
42432181,1773063789,281
42432184,1773063789,197
42453691,1773063789,233
205024444,1773063789,528
42451650,1773063789,255
42429636,1773063789,261
42429637,1773063789,345
42453700,1773063789,319
42429641,1773063789,298
42429643,1773063789,246
42451660,1773063789,216
42429644,1773063789,340
42457821,1773063789,312
1775260897,1773063789,140
42432238,1773063789,182
42432241,1773063789,202
42432244,1773063789,55
42432246,1773063789,108
42432250,1773063789,155
2567558915,1773063789,326
4375208206,1773063789,585
588455700,1773063789,594
42433302,1773063789,419
42446617,1773063789,214
42432282,1773063789,207
42445603,1773063789,138
42445606,1773063789,181
42445612,1773063789,207
42445617,1773063789,406
42445620,1773063789,352
42429752,1773063789,235
588455742,1773063789,186
588455743,1773063789,201
42445630,1773063789,612
1773066054,1773063789,157
42435910,1773063789,262
42435916,1773063789,284
42437965,1773063789,336
42437967,1773063789,334
42435920,1773063789,310
42435921,1773063789,339
42435922,1773063789,349
42435923,1773063789,420
42437972,1773063789,305
42435925,1773063789,525
42435928,1773063789,513
42437978,1773063789,304
42435931,1773063789,588
42437980,1773063789,296
42427742,1773063789,639
42437988,1773063789,289
42437990,1773063789,325
42435434,1773063789,164
42435435,1773063789,143
5407894891,1773063789,392
1773055860,1773063789,285
42435448,1773063789,83
1773055865,1773063789,197
42435451,1773063789,137
42435456,1773063789,235
42435470,1773063789,235
42438034,1773063789,29
42427290,1773063789,298
42427300,1773063789,260
370888100,1773063789,805
42427305,1773063789,277
42427307,1773063789,223
42437559,1773063789,161
496707000,1773063789,296
42437564,1773063789,113
6123654602,1773063789,148
42437580,1773063789,105
42445780,1773063789,330
42437589,1773063789,155
42440679,1773063789,361
42431990,1773063789,235
42431992,1773063789,267
42423295,1773063789,750
5004570627,2141026510,735
1504153604,2141026510,539
42426374,2141026510,277
4163940359,2141026510,28
1061531654,2141026510,575
5004570631,2141026510,704
5004570634,2141026510,700
5004570633,2141026510,697
5004570630,2141026510,725
5004570632,2141026510,730
5004570644,2141026510,661
1504153626,2141026510,461
5004570651,2141026510,675
42436637,2141026510,575
5004570653,2141026510,671
3579426871,2141026510,709
3579426874,2141026510,640
4016646206,2141026510,908
561035330,2141026510,557
561035333,2141026510,628
4016646214,2141026510,273
561035334,2141026510,610
1061531717,2141026510,596
561035335,2141026510,663
561035338,2141026510,519
1705982030,2141026510,103
561035342,2141026510,446
561035343,2141026510,391
561035344,2141026510,424
561035345,2141026510,460
561035346,2141026510,479
561035347,2141026510,496
561035348,2141026510,549
561035349,2141026510,529
1061531727,2141026510,725
1061531730,2141026510,707
42436726,2141026510,242
42424439,2141026510,590
42436728,2141026510,161
42436734,2141026510,309
42436739,2141026510,393
4207863943,2141026510,598
42432659,2141026510,566
42432665,2141026510,617
1061531802,2141026510,653
42432669,2141026510,663
1061531807,2141026510,763
1061531815,2141026510,635
3858909357,2141026510,245
42438836,2141026510,510
42438839,2141026510,557
2141026491,2141026510,112
2141026492,2141026510,56
2141026493,2141026510,169
2141026494,2141026510,331
2141026495,2141026510,538
2141026496,2141026510,516
2141026497,2141026510,19
2141026498,2141026510,74
2141026499,2141026510,204
2141026500,2141026510,187
2141026501,2141026510,152
2141026502,2141026510,464
2141026503,2141026510,127
2141026504,2141026510,37
2141026505,2141026510,393
2141026506,2141026510,94
2141026507,2141026510,374
2141026508,2141026510,205
2141026509,2141026510,576
2141026510,2141026510,0
2141026511,2141026510,148
2141026513,2141026510,260
2141026514,2141026510,429
2141026515,2141026510,279
2141026518,2141026510,496
2141026520,2141026510,448
2141026521,2141026510,557
2141026523,2141026510,132
2141026524,2141026510,223
2141026525,2141026510,169
42432736,2141026510,349
42432737,2141026510,454
42453216,2141026510,297
2141026532,2141026510,312
42453220,2141026510,233
2141026534,2141026510,297
2141026536,2141026510,482
42432744,2141026510,481
2141026538,2141026510,93
42453226,2141026510,195
2141026540,2141026510,355
2141026542,2141026510,411
2141026544,2141026510,150
2141026546,2141026510,114
42453236,2141026510,224
42432756,2141026510,522
2141026548,2141026510,595
2141026551,2141026510,241
42453241,2141026510,215
42438908,2141026510,202
42432764,2141026510,711
42453246,2141026510,191
42438913,2141026510,84
42453251,2141026510,306
42453253,2141026510,347
42438920,2141026510,305
42453258,2141026510,410
42438923,2141026510,347
42438928,2141026510,394
42428709,2141026510,813
42428711,2141026510,790
42428714,2141026510,770
42428716,2141026510,790
42428720,2141026510,736
42428723,2141026510,754
42428725,2141026510,700
42428728,2141026510,718
42428737,2141026510,665
42428742,2141026510,684
42428746,2141026510,629
42428751,2141026510,648
42428760,2141026510,604
42428770,2141026510,605
42424679,2141026510,585
42428782,2141026510,544
42439025,2141026510,466
42441077,2141026510,515
42439029,2141026510,479
42428790,2141026510,563
42432889,2141026510,104
42424698,2141026510,1373
42436985,2141026510,794
42424701,2141026510,560
42432894,2141026510,120
42424703,2141026510,523
42428799,2141026510,581
42432897,2141026510,95
42424706,2141026510,497
42441091,2141026510,665
42432900,2141026510,120
42428807,2141026510,599
42432905,2141026510,171
42441099,2141026510,682
42432908,2141026510,178
42439054,2141026510,698
1506445711,2141026510,557
42441104,2141026510,623
42428814,2141026510,617
42432917,2141026510,196
42441111,2141026510,864
42432926,2141026510,222
42445215,2141026510,159
42432928,2141026510,240
42432929,2141026510,217
42428833,2141026510,635
42445219,2141026510,305
42432931,2141026510,240
42432932,2141026510,262
42432933,2141026510,283
42432936,2141026510,305
42447273,2141026510,584
42447275,2141026510,586
42428844,2141026510,569
42443181,2141026510,467
42447278,2141026510,540
42447281,2141026510,543
1506445746,2141026510,536
42432949,2141026510,396
42432950,2141026510,418
42447285,2141026510,497
42432954,2141026510,466
42428858,2141026510,418
42432955,2141026510,488
42432956,2141026510,510
42432957,2141026510,533
42447295,2141026510,407
42428863,2141026510,397
42432961,2141026510,578
42432960,2141026510,554
42428867,2141026510,413
1506445762,2141026510,656
42428869,2141026510,431
42447303,2141026510,388
42428873,2141026510,449
42439115,2141026510,633
42428876,2141026510,467
42428880,2141026510,485
1506599377,2141026510,483
1506599378,2141026510,501
42441169,2141026510,793
42447317,2141026510,299
42447323,2141026510,276
42428892,2141026510,522
1506445789,2141026510,534
42447326,2141026510,269
42447330,2141026510,309
1506445797,2141026510,701
42447336,2141026510,258
1506445808,2141026510,573
1506445821,2141026510,533
1506445822,2141026510,727
42437142,2141026510,548
42441263,2141026510,680
42437177,2141026510,252
42441276,2141026510,617
6223571521,2141026510,574
6223571522,2141026510,565
6223571523,2141026510,604
42437188,2141026510,226
6223571524,2141026510,595
42441283,2141026510,678
42437196,2141026510,274
42441299,2141026510,740
42437204,2141026510,329
42426968,2141026510,666
42437211,2141026510,180
42441310,2141026510,752
470209120,2141026510,655
42437218,2141026510,340
470209122,2141026510,598
42443363,2141026510,837
42437222,2141026510,514
42437223,2141026510,666
42443366,2141026510,866
42424937,2141026510,786
42451564,2141026510,284
42443373,2141026510,813
42443381,2141026510,662
42431094,2141026510,845
42431096,2141026510,824
42431099,2141026510,804
42443388,2141026510,689
42431102,2141026510,791
42431104,2141026510,770
42431106,2141026510,749
42431107,2141026510,727
42431108,2141026510,706
42431111,2141026510,685
42433161,2141026510,319
42431113,2141026510,664
42433163,2141026510,280
42443403,2141026510,666
42433165,2141026510,188
42443406,2141026510,577
42431118,2141026510,621
42431116,2141026510,642
42431121,2141026510,621
587934347,2141026510,1167
42433173,2141026510,134
42443413,2141026510,487
42443426,2141026510,510
42441382,2141026510,909
42439371,2141026510,271
42431186,2141026510,465
42453717,2141026510,376
42431193,2141026510,675
42431200,2141026510,307
42431201,2141026510,225
42431203,2141026510,198
42433252,2141026510,755
42431207,2141026510,239
42433256,2141026510,848
42431210,2141026510,346
42435316,2141026510,699
42435317,2141026510,678
42435319,2141026510,656
42435323,2141026510,635
42425088,2141026510,475
42435328,2141026510,614
42435331,2141026510,481
42435333,2141026510,460
42435335,2141026510,438
42435336,2141026510,417
42435337,2141026510,396
42435341,2141026510,327
42435343,2141026510,306
42435346,2141026510,292
42445587,2141026510,458
42435359,2141026510,396
42435360,2141026510,487
42435362,2141026510,510
1506591534,2141026510,512
4888388399,2141026510,208
1506591536,2141026510,549
42435380,2141026510,490
42431293,2141026510,604
627905367,2141026510,645
1905863520,2141026510,272
42425232,2141026510,566
42425242,2141026510,582
42439588,2141026510,442
42439590,2141026510,502
42439598,2141026510,509
42439599,2141026510,567
42439601,2141026510,611
2395270098,2141026510,744
42431447,2141026510,720
1778676708,2141026510,307
2029349871,2141026510,877
42425348,2141026510,882
42445840,2141026510,611
2029349908,2141026510,901
764744759,2141026510,515
42441899,2141026510,768
42429532,2141026510,391
3551738975,2141026510,469
42429536,2141026510,251
42429538,2141026510,336
5763775589,2141026510,407
42429541,2141026510,572
42429552,2141026510,392
42429557,2141026510,828
42427519,2141026510,359
42427523,2141026510,405
42427531,2141026510,452
42427538,2141026510,498
42435736,2141026510,296
42435743,2141026510,281
42441889,2141026510,877
42435746,2141026510,260
42441895,2141026510,815
42439849,2141026510,125
5838916777,2141026510,345
42439851,2141026510,66
42439852,2141026510,84
42435755,2141026510,218
42437801,2141026510,461
42439855,2141026510,47
42441903,2141026510,772
42435761,2141026510,197
42439858,2141026510,65
42435763,2141026510,174
42439860,2141026510,102
42439861,2141026510,123
42435766,2141026510,197
42441910,2141026510,665
42439864,2141026510,143
42441913,2141026510,621
42441907,2141026510,726
1807940789,2141026510,713
42439868,2141026510,178
42435775,2141026510,202
42439873,2141026510,196
42439878,2141026510,214
42441926,2141026510,575
42435785,2141026510,184
42433743,2141026510,209
42439887,2141026510,307
42435794,2141026510,194
42439891,2141026510,327
42439894,2141026510,346
42441942,2141026510,714
42439897,2141026510,383
42435802,2141026510,216
42435803,2141026510,208
42439899,2141026510,419
42435805,2141026510,185
3579432156,2141026510,539
3579432159,2141026510,556
3579432160,2141026510,514
3579432161,2141026510,437
3579432162,2141026510,416
42435810,2141026510,230
42439905,2141026510,455
42425570,2141026510,504
42435814,2141026510,251
42439910,2141026510,473
42437050,2141026510,879
42435825,2141026510,314
42439922,2141026510,511
42433779,2141026510,515
42439924,2141026510,529
42433781,2141026510,401
42433785,2141026510,511
3570003194,2141026510,495
42435837,2141026510,378
